,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
152,Johannesburg,ICC World Twenty20,Final,2007-09-24,T20,46,IK Pathan,India,{'runs': 5},20,2007/08,international,India,Pakistan,India,bat,New Wanderers Stadium
153,Nairobi,Twenty20 Quadrangular (in Kenya),,2007-09-02,T20,18,Imran Nazir,Pakistan,{'runs': 30},20,2007/08,international,Bangladesh,Pakistan,Bangladesh,field,Gymkhana Club Ground
154,Nairobi,Twenty20 Quadrangular (in Kenya),,2007-09-04,T20,19,Younis Khan,Pakistan,{'wickets': 8},20,2007/08,international,Kenya,Pakistan,Kenya,bat,Gymkhana Club Ground
155,Karachi,,,2008-04-20,T20,55,Misbah-ul-Haq,Pakistan,{'runs': 102},20,2007/08,international,Pakistan,Bangladesh,Pakistan,bat,National Stadium
156,London,ICC World Twenty20,,2009-06-07,T20,95,LJ Wright,England,{'runs': 48},20,2009,international,England,Pakistan,Pakistan,field,Kennington Oval
157,London,ICC World Twenty20,,2009-06-09,T20,98,Kamran Akmal,Pakistan,{'runs': 82},20,2009,international,Netherlands,Pakistan,Pakistan,bat,Lord's
158,London,ICC World Twenty20,,2009-06-12,T20,104,TM Dilshan,Sri Lanka,{'runs': 19},20,2009,international,Pakistan,Sri Lanka,Sri Lanka,bat,Lord's
159,London,ICC World Twenty20,,2009-06-13,T20,107,Umar Gul,Pakistan,{'wickets': 6},20,2009,international,New Zealand,Pakistan,New Zealand,bat,Kennington Oval
160,London,ICC World Twenty20,,2009-06-15,T20,110,Kamran Akmal,Pakistan,{'runs': 39},20,2009,international,Ireland,Pakistan,Pakistan,bat,Kennington Oval
161,Nottingham,ICC World Twenty20,Semi Final,2009-06-18,T20,114,Shahid Afridi,Pakistan,{'runs': 7},20,2009,international,Pakistan,South Africa,Pakistan,bat,Trent Bridge
162,London,ICC World Twenty20,Final,2009-06-21,T20,116,Shahid Afridi,Pakistan,{'wickets': 8},20,2009,international,Pakistan,Sri Lanka,Sri Lanka,bat,Lord's
163,King City,T20 Canada,,2008-10-11,T20,72,Shoaib Malik,Pakistan,{'wickets': 3},20,2008/09,international,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground
164,King City,T20 Canada,Final,2008-10-13,T20,76,ST Jayasuriya,Sri Lanka,{'wickets': 5},20,2008/09,international,Pakistan,Sri Lanka,Sri Lanka,field,Maple Leaf North-West Ground
165,,,,2009-05-07,T20,89,Shahid Afridi,Pakistan,{'wickets': 7},20,2009,international,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium
166,Colombo,,,2009-08-12,T20,118,Shahid Afridi,Pakistan,{'runs': 52},20,2009,international,Sri Lanka,Pakistan,Pakistan,bat,R Premadasa Stadium
167,,,,2010-02-05,T20,134,SW Tait,Australia,{'runs': 2},20,2009/10,international,Australia,Pakistan,Australia,bat,Melbourne Cricket Ground
168,St Lucia,ICC World Twenty20,,2010-05-01,T20,154,Salman Butt,Pakistan,{'runs': 21},20,2010,international,Bangladesh,Pakistan,Pakistan,bat,"Beausejour Stadium, Gros Islet"
169,St Lucia,ICC World Twenty20,,2010-05-02,T20,156,SR Watson,Australia,{'runs': 34},20,2010,international,Australia,Pakistan,Australia,bat,"Beausejour Stadium, Gros Islet"
170,Barbados,ICC World Twenty20,,2010-05-06,T20,163,KP Pietersen,England,{'wickets': 6},20,2010,international,England,Pakistan,England,field,"Kensington Oval, Bridgetown"
171,Barbados,ICC World Twenty20,,2010-05-08,T20,167,IG Butler,New Zealand,{'runs': 1},20,2010,international,New Zealand,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown"
172,St Lucia,ICC World Twenty20,,2010-05-10,T20,171,Umar Akmal,Pakistan,{'runs': 11},20,2010,international,Pakistan,South Africa,Pakistan,bat,"Beausejour Stadium, Gros Islet"
173,St Lucia,ICC World Twenty20,Semi Final,2010-05-14,T20,176,MEK Hussey,Australia,{'wickets': 3},20,2010,international,Australia,Pakistan,Australia,field,"Beausejour Stadium, Gros Islet"
174,Birmingham,MCC Spirit of Cricket T20I Series,,2010-07-05,T20,184,Umar Akmal,Pakistan,{'runs': 23},20,2010,international,Australia,Pakistan,Pakistan,bat,Edgbaston
175,Birmingham,MCC Spirit of Cricket T20I Series,,2010-07-06,T20,185,Mohammad Amir,Pakistan,{'runs': 11},20,2010,international,Australia,Pakistan,Pakistan,bat,Edgbaston
176,Cardiff,Pakistan in England T20I Series,,2010-09-05,T20,186,MH Yardy,England,{'wickets': 5},20,2010,international,England,Pakistan,England,field,Sophia Gardens
177,Cardiff,Pakistan in England T20I Series,,2010-09-07,T20,187,TT Bresnan,England,{'wickets': 6},20,2010,international,England,Pakistan,Pakistan,bat,Sophia Gardens
178,,Pakistan v New Zealand T20I Series,,2009-11-12,T20,122,Imran Nazir,Pakistan,{'runs': 49},20,2009/10,international,New Zealand,Pakistan,New Zealand,field,Dubai International Cricket Stadium
179,,Pakistan v New Zealand T20I Series,,2009-11-13,T20,123,Umar Akmal,Pakistan,{'runs': 7},20,2009/10,international,New Zealand,Pakistan,Pakistan,bat,Dubai International Cricket Stadium
180,,Pakistan v England T20I Series,,2010-02-19,T20,144,EJG Morgan,England,{'wickets': 7},20,2009/10,international,England,Pakistan,Pakistan,bat,Dubai International Cricket Stadium
181,,Pakistan v England T20I Series,,2010-02-20,T20,145,Abdul Razzaq,Pakistan,{'wickets': 4},20,2009/10,international,England,Pakistan,Pakistan,field,Dubai International Cricket Stadium
182,Abu Dhabi,Pakistan v South Africa T20I Series,,2010-10-27,T20,191,J Theron,South Africa,{'wickets': 6},20,2010/11,international,Pakistan,South Africa,Pakistan,bat,Sheikh Zayed Stadium
183,Auckland,Pakistan in New Zealand T20I Series,,2010-12-26,T20,193,TG Southee,New Zealand,{'wickets': 5},20,2010/11,international,New Zealand,Pakistan,New Zealand,field,Eden Park
184,Hamilton,Pakistan in New Zealand T20I Series,,2010-12-28,T20,194,NL McCullum,New Zealand,{'runs': 39},20,2010/11,international,New Zealand,Pakistan,Pakistan,field,Seddon Park
185,Christchurch,Pakistan in New Zealand T20I Series,,2010-12-30,T20,195,Abdul Razzaq,Pakistan,{'runs': 103},20,2010/11,international,New Zealand,Pakistan,Pakistan,bat,AMI Stadium
